# The 3E/4E end-code table. One row per code; the EXCEPTION CLASS NAMES are hand-written
# public API in aslmp/errors/__init__.py and are referenced here by name, because people
# put them in except clauses and generated class names drift.
#
# tools/gen_endcodes.py turns this file into aslmp/errors/endcodes.py as a committed
# literal mapping. Nothing parses a TSV at run time, and the error path in particular
# cannot afford to.
#
# An empty exception_class means the code has no dedicated subclass and raises the base
# SlmpEndCodeError carrying this row's text. A code that is NOT in this table still
# raises a named class -- SlmpEndCodeError with description 'undocumented end code', the
# code formatted 0x%04X, and a line asking for a report naming the CPU model and
# firmware. Never a bare integer, never a stringified decimal.
#
# On the wire the end code is little-endian in binary (0xC059 goes out as 59 C0) and
# four upper-case hex characters in ASCII.
#
# provenance=live rows were observed on the named CPU and firmware. Three of them are
# CORRECTIONS to what the manuals led us to expect (0xC05C, 0xC052, 0xC061) and their
# notes say what the doc-derived mapping predicted, because the point of citing sources
# is to be able to see where they were wrong.
code	name	exception_class	description	likely_cause	caller_action	provenance	cpu	firmware	measured	manual	revision	section	note
0x4043	cpu_module_absent	SlmpCpuModuleError	Intelligent function module specification error: there is no intelligent function module at the specified position.		Check the I/O number.	manual				JY997D55401	unknown	Appendix 3, Error codes of the CPU module (4000H to 4FFFH) (p.593)	
0x4053	cpu_drive_write_error	SlmpCpuError	Protect error: an error occurred when writing to the specified drive.			manual				JY997D55401	unknown	Appendix 3, Error codes of the CPU module (4000H to 4FFFH) (p.593)	
0x4060	cpu_online_debug_in_use	SlmpCpuError	Online registration error: online debug or data logging is in use by another engineering tool.			manual				JY997D55401	unknown	Appendix 3, Error codes of the CPU module (4000H to 4FFFH) (p.593)	
0x4064	cpu_online_change_incorrect	SlmpCpuError	Online registration error: the contents of the online change, logging, memory dump or real-time monitor are incorrect.			manual				JY997D55401	unknown	Appendix 3, Error codes of the CPU module (4000H to 4FFFH) (p.593)	
0x4068	cpu_operation_disabled	SlmpCpuError	Online registration error: the operation is disabled because it is being performed with another engineering tool.			manual				JY997D55401	unknown	Appendix 3, Error codes of the CPU module (4000H to 4FFFH) (p.593)	
0x4080	cpu_request_data_error	SlmpCpuError	Other error: request data error.		Check the request data.	manual				JY997D55401	unknown	Appendix 3, Error codes of the CPU module (4000H to 4FFFH) (p.593)	
0x4081	cpu_search_target_not_found	SlmpCpuError	Other error: the search target data cannot be detected.			manual				JY997D55401	unknown	Appendix 3, Error codes of the CPU module (4000H to 4FFFH) (p.593)	
0x408B	cpu_remote_request_refused	SlmpCpuRemoteDisabledError	Other error: the remote request cannot be executed.	Remote Reset is disabled in the CPU parameters. That is the DEFAULT on a fresh FX5U, and the single most likely reason a 1006 fails.	Enable Remote Reset in GX Works3 under CPU Parameter, Operation Related Setting, then re-execute once the CPU can accept it.	manual				JY997D55401	unknown	Appendix 3, Error codes of the CPU module (4000H to 4FFFH) (p.593)	
0x40A0	cpu_sfc_block_error	SlmpCpuError	SFC device specification error: the block number is out of range.			manual				JY997D55401	unknown	Appendix 3, Error codes of the CPU module (4000H to 4FFFH) (p.593)	
0x40A1	cpu_sfc_block_error_2	SlmpCpuError	SFC device specification error: the block number is out of range.			manual				JY997D55401	unknown	Appendix 3, Error codes of the CPU module (4000H to 4FFFH) (p.593)	
0x40A7	cpu_sfc_step_error	SlmpCpuError	SFC device specification error: the step number is out of range.			manual				JY997D55401	unknown	Appendix 3, Error codes of the CPU module (4000H to 4FFFH) (p.593)	
0x40A8	cpu_sfc_step_error_2	SlmpCpuError	SFC device specification error: the step number is out of range.			manual				JY997D55401	unknown	Appendix 3, Error codes of the CPU module (4000H to 4FFFH) (p.593)	
0x40B0	cpu_sfc_file_error	SlmpCpuError	SFC file related error.			manual				JY997D55401	unknown	Appendix 3, Error codes of the CPU module (4000H to 4FFFH) (p.593)	
0x40B1	cpu_sfc_file_error_2	SlmpCpuError	SFC file related error.			manual				JY997D55401	unknown	Appendix 3, Error codes of the CPU module (4000H to 4FFFH) (p.593)	
0xC001	initial_setting_error	SlmpConnectionStateError	The IP address for initial processing is incorrect, or the router-relay subnet mask setting is wrong.	PLC-side Ethernet parameters.	Fix the CPU's Ethernet parameters in GX Works3.	manual				SH(NA)-081105ENG	G	16.7.1 End codes returned to an external device	
0xC012	tcp_port_already_open	SlmpConnectionStateError	The port number of a connection that is already open was specified (TCP/IP).	Two connection entries claim the same port.	Change the port.	manual				SH(NA)-081105ENG	G	16.7.1 End codes returned to an external device	
0xC013	udp_port_already_open	SlmpConnectionStateError	The port number of a connection that is already open was specified (UDP/IP).	Two connection entries claim the same port.	Change the port.	manual				SH(NA)-081105ENG	G	16.7.1 End codes returned to an external device	
0xC015	external_ip_incorrect	SlmpConnectionStateError	The specified IP address of the external device is incorrect.	The connection entry's destination IP does not match this host.	Fix the destination IP in the connection entry.	manual				SH(NA)-081105ENG	G	16.7.1 End codes returned to an external device	A UDP SLMP connection entry on iQ-F is point to point: GX Works3 refuses to save it without a destination IP, so every UDP peer needs its own entry.
0xC018	external_ip_incorrect_2	SlmpConnectionStateError	The specified IP address of the external device is incorrect.	As 0xC015.	Fix the destination IP.	manual				SH(NA)-081105ENG	G	16.7.1 End codes returned to an external device	
0xC020	message_too_long	SlmpDataLengthError	The send or receive data length exceeds the allowable range.	The frame is larger than the module will accept.	Split the request into several transactions.	manual				SH(NA)-081257ENG	AD	3.5 List of Error Codes	
0xC021	fixed_buffer_abnormal_end		An abnormal end response was received for fixed-buffer or random-access-buffer communications.	Wrong subheader, or a communication-data-code mismatch.	Check the binary/ASCII setting of the connection entry.	manual				SH(NA)-081105ENG	G	16.7.1 End codes returned to an external device	
0xC022	response_timer_expired	SlmpPlcTimeoutError	A response could not be received within the response monitoring timer, or the connection was closed while waiting.	The access destination did not answer.	Surface the timeout. Do not retry silently: for a write, the outcome is unknown.	manual				SH(NA)-081257ENG	AD	3.5 List of Error Codes	
0xC035	alive_check_failed	SlmpPlcTimeoutError	The existence of the external device could not be confirmed within the response monitoring timer.	The alive check failed.	Check the link.	manual				SH(NA)-081257ENG	AD	3.5 List of Error Codes	
0xC040	incomplete_receive	SlmpPlcTimeoutError	Not all of the data could be received within the response monitoring timer; the declared data length never arrived.	A truncated message.	Check the request data length arithmetic and resend.	manual				SH(NA)-081257ENG	AD	3.5 List of Error Codes	
0xC050	ascii_conversion_error	SlmpAsciiConversionError	With the communication data code set to ASCII, data arrived that cannot be converted to binary.	Binary was sent to an ASCII-configured entry, or the ASCII is malformed.	Match the client's encoding to the connection entry's Communication Data Code.	manual				SH(NA)-081257ENG	AD	3.5 List of Error Codes	The mirror-image mistake, ASCII into a BINARY entry, is 0xC06F and produces SILENCE rather than this code.
0xC051	bit_batch_point_count	SlmpBitPointCountError	The number of bit devices for a batch read or write is outside the allowable range.	Too many bit points in one 0401/1401.	Reduce the point count. aslmp refuses over the profile's limit before sending.	live	FX5U-32MT/DS	1.065	2026-09-06	SH(NA)-081257ENG	AD	3.5 List of Error Codes	Binary-searched: 3584 bit points from M0 returned 0x0000 and 3585 returned 0xC051. SH(NA)-080956ENG-M's generic ceiling is 7168, exactly double, so a client that hard-codes the SLMP-REF figure builds frames this CPU rejects. See A-BATCH-BIT-LIMIT.
0xC052	word_batch_point_count	SlmpWordPointCountError	The number of word devices for a batch read or write is outside the allowable range.	Too many word points in one 0401/1401 -- or ZERO points.	Reduce the point count. A zero point count is refused client-side.	live	FX5U-32MT/DS	1.065	2026-09-06	SH(NA)-081257ENG	AD	3.5 List of Error Codes	MEASURED CORRECTION: a request for ZERO word points returned 0xC052, not the address error our doc-derived mapping predicted. 961 word points from D0 also returned 0xC052; 960 succeeded. Reconfirmed over UDP. See A-ZERO-POINT-COUNT.
0xC053	bit_random_point_count	SlmpRandomPointCountError	The number of bit devices for a random read or write is outside the allowable range.	Too many bit points in one 1402.	Split the request. The iQ-F binary cap is 188 points.	manual				SH(NA)-081257ENG	AD	3.5 List of Error Codes	
0xC054	word_random_point_count	SlmpRandomPointCountError	The number of word or double-word devices for a random read or write is outside the allowable range.	Too many points in one 0403/1402.	Split the request, or use allow_split=True and accept that the snapshot atomicity is lost.	live	FX5U-32MT/DS	1.065	2026-09-06	SH(NA)-081257ENG	AD	3.5 List of Error Codes	192 word-access points returned 0x0000; 193 returned 0xC054; 255 returned 0xC054. The constraint is word_points + dword_points <= 192, independent of how many words come back. The point-count fields are one byte each, so the wire format will not stop you.
0xC055	file_size_out_of_range	SlmpDataLengthError	The read or write size for file data is outside the allowable range.	File commands only.	Reduce the byte count.	manual				SH(NA)-081257ENG	AD	3.5 List of Error Codes	
0xC056	address_out_of_range	SlmpDeviceRangeError	The read or write request exceeds the maximum address.	The head address, or the head address plus the point count, falls outside the device area this CPU has configured.	Fix the start address or the point count. This is the code check_range exists to prevent.	live	FX5U-32MT/DS	1.065	2026-09-06	SH(NA)-081257ENG	AD	3.5 List of Error Codes	D8000 with 1 point returned 0xC056 and D7999 with 1 point returned 0x0000, confirming D0-D7999. D7999 with TWO points also returned 0xC056 -- the span, not the start address, is what is checked, which is why check_range takes the point count. D99999 also returned 0xC056.
0xC057	request_length_mismatch	SlmpPlcFramingError	The request data length in the SLMP message does not match the amount of data in the character section.	The L field is wrong.	Fix the length arithmetic.	manual				SH(NA)-081257ENG	AD	3.5 List of Error Codes	Documented, but an FX5U-32MT/DS fw 1.065 returns 0xC061 for this condition, not 0xC057. See A-C061-NOT-C057.
0xC058	ascii_request_length_mismatch	SlmpPlcFramingError	The request data length after ASCII-to-binary conversion does not match the amount of data in the character section.	The ASCII L field is wrong.	Compute the length per codec: an ASCII bit-data length is not twice the binary one when the point count is odd.	manual				SH(NA)-081257ENG	AD	3.5 List of Error Codes	
0xC059	command_or_subcommand_error	SlmpUnsupportedCommandError	Error in command or subcommand specification. There is a command or subcommand that cannot be used by the CPU module.	A command this CPU does not implement, or a subcommand from the wrong device specification family.	Use a command the target supports, and check the CPU firmware version.	live	FX5U-32MT/DS	1.065	2026-09-06	SH(NA)-081257ENG	AD	3.5 List of Error Codes	Measured four ways on this CPU: 0801 Monitor Registration, 0802 Execute Monitor, subcommand 0x0002 (the iQ-R long device specification) and the nonsense command 0x9999 all returned 0xC059. Note 0802 returns 0xC059 and not 0xC05D, so there is no way to mistake it for 'you forgot to register'.
0xC05A	device_not_accessible	SlmpDeviceNotAccessibleError	The module cannot read or write data from or to the device specified in the SLMP message.	A device code this CPU does not support.	Use a device this CPU has.	manual				SH(NA)-081257ENG	AD	3.5 List of Error Codes	
0xC05B	device_not_accessible_2	SlmpDeviceNotAccessibleError	The module cannot read or write data from or to the specified device.	The documented code for a device the CPU does not have, such as V or ZR on an FX5, or a local device.	Use a device this CPU has.	manual				SH(NA)-081257ENG	AD	3.5 List of Error Codes	An FX5U-32MT/DS fw 1.065 returns 0xC05C for this condition instead. This row is kept because an iQ-R may well behave as documented. See A-C05C-NOT-C05B.
0xC05C	request_content_error	SlmpRequestContentError	Error in request contents, for example a read or write by bit unit addressed to a word device.	On an FX5, most often a device family this CPU does not have (V, ZR, DX, DY) or a device code byte that is not a device code at all. Otherwise, the wrong bit-0 subcommand for the device type.	Check the device exists on this CPU. aslmp's device table refuses the absent families before the frame is built, so you should not see this for that reason.	live	FX5U-32MT/DS	1.065	2026-09-06	SH(NA)-081257ENG	AD	3.5 List of Error Codes	MEASURED CORRECTION: device code 0x00, device code 0xFF, V0, ZR0 and DX0 all returned 0xC05C, where the doc-derived mapping predicted 0xC05B. Without this correction the library tells a user their subcommand is wrong when their CPU simply has no edge relays. See A-C05C-NOT-C05B.
0xC05D	monitor_not_registered	SlmpMonitorNotRegisteredError	An Execute Monitor request arrived before Monitor Registration was performed.	0802 was sent without a preceding 0801.	Register the device list first.	manual				SH(NA)-081257ENG	AD	3.5 List of Error Codes	Unreachable on iQ-F, which refuses 0802 itself with 0xC059.
0xC05E	cpu_communication_timeout	SlmpPlcTimeoutError	The communication time between the module and the CPU, or to the access destination, exceeded the monitoring timer set in the SLMP request.	The request's monitoring timer is too small, or the route is slow.	Increase the request's monitoring timer field, which is independent of the client-side deadline.	manual				SH(NA)-081257ENG	AD	3.5 List of Error Codes	
0xC05F	request_not_executable	SlmpRoutingError	This request cannot be executed against the target CPU module or access destination.	Wrong network number, station number or module I/O number.	Fix the route bytes.	manual				SH(NA)-081257ENG	AD	3.5 List of Error Codes	
0xC060	bit_device_data_error	SlmpRequestContentError	Error in request contents, for example an error in the data specified for a bit device.	The bit-write payload is malformed; the nibble packing is wrong.	Two points per byte, first point in the high nibble, odd counts padded low.	manual				SH(NA)-081257ENG	AD	3.5 List of Error Codes	
0xC061	request_data_length_mismatch	SlmpPlcFramingError	The request data length does not match the amount of data in the character section.	The L field does not match the body that followed it.	Compute L in one place from the encoded body.	live	FX5U-32MT/DS	1.065	2026-09-06	SH(NA)-081257ENG	AD	3.5 List of Error Codes	MEASURED CORRECTION: this, not 0xC057, is the framing code this CPU returns. Understating L by 2 returned 0xC061 and the connection recovered. Declaring L=0x0000 returned 0xC061 with the command and subcommand echoed as 0x0000. OVERSTATING L produced NO RESPONSE AT ALL: the CPU blocks waiting for bytes that never arrive, which is indistinguishable from a dead PLC. See A-C061-NOT-C057.
0xC062	write_protected_during_run	SlmpWriteProtectedError	Writing was prohibited while the CPU was running.	Enable Online Change is off, or a QnA-compatible 3E/4E write was addressed to a remote I/O station.	Enable online change in the CPU parameters, or put the CPU in STOP.	manual				SH(NA)-081105ENG	G	16.7.1 End codes returned to an external device	
0xC06F	ascii_into_binary_entry		With the communication data code set to Binary, an ASCII request message was received. The error history is registered but NO ERROR RESPONSE IS SENT.	The client is speaking ASCII to a binary-configured connection entry.	Match the encoding to the entry's Communication Data Code. There is nothing to retry: the code never reaches the wire.	manual				SH(NA)-081257ENG	AD	3.5 List of Error Codes	This row will never be constructed from a response, because there is no response. It exists so that SlmpTimeoutError.likely_causes can name it: on a first transaction with zero bytes received, a coding mismatch is the leading suspect. Confirmed on FX5U-32MT/DS fw 1.065: a well-formed 42-character ASCII 3E request produced no bytes at all for 4000 ms, the connection stayed open with no FIN, and a fresh binary request immediately afterwards worked.
0xC070	device_memory_not_extendable		The device memory cannot be extended for the access destination.	The extension subcommand was sent to a target that does not support it.	Drop the device-memory-extension bit.	manual				SH(NA)-081257ENG	AD	3.5 List of Error Codes	
0xC071	point_count_out_of_range	SlmpPointCountError	The number of device points for a read or write set for a module other than an R/Q/QnA CPU is out of range.	Too many points for this target.	Reduce the point count.	manual				SH(NA)-081257ENG	AD	3.5 List of Error Codes	
0xC072	request_details_incorrect	SlmpRequestContentError	The request details are incorrect; for example a bit-unit read or write was issued to a word device.	The subcommand's unit bit does not match the device.	Fix the subcommand.	manual				SH(NA)-081257ENG	AD	3.5 List of Error Codes	
0xC073	destination_cannot_execute	SlmpRoutingError	The access destination cannot execute this request; for example double-word access points cannot be specified for a module other than an R/Q/QnA CPU.	Double-word random access to a target that does not support it.	Use word access points.	manual				SH(NA)-081257ENG	AD	3.5 List of Error Codes	
0xC074	target_cannot_execute	SlmpRoutingError	This request cannot be executed against the target CPU module.	Wrong network or PC number.	Fix the route bytes.	manual				SH(NA)-081105ENG	G	16.7.1 End codes returned to an external device	
0xC075	label_request_length	SlmpDataLengthError	The request data length for label access is out of range.	Label commands only.	Shorten the label list.	manual				SH(NA)-081257ENG	AD	3.5 List of Error Codes	
0xC0B2	receive_buffer_full	SlmpBusyError	There is no space in the receive buffer of the relay or destination station.	The PLC is being given more than it can take.	Increase the interval between requests and wait for each response. Never auto-retried by this library.	manual				SH(NA)-081257ENG	AD	3.5 List of Error Codes	
0xC0B3	cpu_cannot_process_request		A request that cannot be processed was issued from the CPU module.		Fix the request or the routing.	manual				SH(NA)-081257ENG	AD	3.5 List of Error Codes	
0xC0B5	unprocessable_data	SlmpRequestContentError	Data that cannot be processed by the CPU module or the Ethernet module was specified.		Correct the request and cancel the current one.	manual				SH(NA)-081105ENG	G	16.7.1 End codes returned to an external device	Present in the Q/L list and absent from the iQ-R list, which goes 0xC0B3 to 0xC0B6. It is a Q/L E71-era code.
0xC0B6	channel_number_out_of_range		The channel number is outside the allowable range.	A dedicated-instruction path, not an SLMP client.	Use channel 1 to 8.	manual				SH(NA)-081105ENG	G	16.7.1 End codes returned to an external device	
0xC0B9	tcp_open_not_complete	SlmpConnectionStateError	The TCP open processing is not complete.	Connection lifecycle.	Reopen the connection.	manual				SH(NA)-081105ENG	G	16.7.1 End codes returned to an external device	
0xC0BA	tcp_close_in_progress	SlmpConnectionStateError	TCP close processing is in progress.	Connection lifecycle.	Wait for the close to finish, then reopen.	manual				SH(NA)-081105ENG	G	16.7.1 End codes returned to an external device	
0xC0BC	line_closed	SlmpConnectionStateError	The specified line is closed.	Connection lifecycle.	Reopen the connection.	manual				SH(NA)-081105ENG	G	16.7.1 End codes returned to an external device	
0xC0BD	successive_requests	SlmpBusyError	Requests were accepted successively and cannot be processed.	The client is overrunning the module.	Throttle. Never auto-retried.	manual				SH(NA)-081105ENG	G	16.7.1 End codes returned to an external device	
0xC0D8	block_count_out_of_range	SlmpPointCountError	The number of specified blocks exceeds the allowable range.	Too many blocks in one 0406/1406.	Reduce the block count.	manual				SH(NA)-081257ENG	AD	3.5 List of Error Codes	
0xC0D9	subcommand_incorrect	SlmpUnsupportedCommandError	The specified subcommand of the SLMP message is incorrect.		Fix the subcommand.	manual				SH(NA)-081257ENG	AD	3.5 List of Error Codes	
0xC0DE	arrival_monitoring_timeout	SlmpPlcTimeoutError	Data could not be received within the specified arrival monitoring time.		Increase the timer.	manual				SH(NA)-081257ENG	AD	3.5 List of Error Codes	
0xC1A4	command_subcommand_or_io_incorrect	SlmpUnsupportedCommandError	The command, subcommand or request destination module I/O number is incorrect, or the function is not supported by the target device.	The routed-access cousin of 0xC059.	Check the command, the subcommand and the destination I/O number.	manual				SH(NA)-081257ENG	AD	3.5 List of Error Codes	
0xC1A5	target_or_clear_target_incorrect	SlmpRoutingError	The specified target station or clear target is incorrect.		Fix the target.	manual				SH(NA)-081257ENG	AD	3.5 List of Error Codes	
0xC1A6	connection_number_incorrect		The specified connection number is incorrect.		Fix the connection number.	manual				SH(NA)-081257ENG	AD	3.5 List of Error Codes	
0xC1A7	network_number_incorrect	SlmpRoutingError	The specified network number is incorrect.		Fix the route bytes.	manual				SH(NA)-081257ENG	AD	3.5 List of Error Codes	
0xC1A8	station_number_incorrect	SlmpRoutingError	The specified station number is incorrect.		Fix the route bytes.	manual				SH(NA)-081257ENG	AD	3.5 List of Error Codes	
0xC1A9	device_number_incorrect	SlmpDeviceRangeError	The specified device number is incorrect.		Fix the address.	manual				SH(NA)-081257ENG	AD	3.5 List of Error Codes	
0xC1AA	device_name_incorrect	SlmpDeviceNotAccessibleError	The specified device name is incorrect.		Fix the device code.	manual				SH(NA)-081257ENG	AD	3.5 List of Error Codes	
0xC200	remote_password_incorrect	SlmpRemotePasswordError	The remote password is incorrect.	Wrong password on unlock or lock.	Correct the password and re-run the unlock.	manual				SH(NA)-081257ENG	AD	3.5 List of Error Codes	
0xC201	remote_password_locked	SlmpRemotePasswordLockedError	The remote password status of the port used for communications is locked.	Nothing else can be done until the port is unlocked.	Send 1630 Remote Password Unlock first.	manual				SH(NA)-081257ENG	AD	3.5 List of Error Codes	
0xC202	remote_password_other_station	SlmpRemotePasswordError	When another station was accessed, the remote password could not be unlocked.	Routed access through a password-protected relay.	Remove the password on the relay or access station.	manual				SH(NA)-081257ENG	AD	3.5 List of Error Codes	
0xC203	remote_password_check_error	SlmpRemotePasswordError	An error occurred while checking the remote password.		Unlock again.	manual				SH(NA)-081257ENG	AD	3.5 List of Error Codes	
0xC204	remote_password_wrong_device	SlmpRemotePasswordError	The device is different from the one that requested the remote password unlock.	A different IP is trying to use a session somebody else unlocked.	Lock and unlock from the same device.	manual				SH(NA)-081257ENG	AD	3.5 List of Error Codes	
0xC205	remote_password_other_station_2	SlmpRemotePasswordError	When another station was accessed, the remote password could not be unlocked.	As 0xC202.	Remove the password on the relay or access station.	manual				SH(NA)-081257ENG	AD	3.5 List of Error Codes	
0xC810	remote_password_failures_under_10	SlmpRemotePasswordError	Error in the remote password; the authentication failure count is 9 or less.		Correct the password and retry.	manual				SH(NA)-081257ENG	AD	3.5 List of Error Codes	
0xC815	remote_password_failures_10	SlmpRemotePasswordLockoutError	Error in the remote password; the authentication failure count has reached 10.		Wait out the lockout time.	manual				SH(NA)-081257ENG	AD	3.5 List of Error Codes	
0xC816	remote_password_locked_out	SlmpRemotePasswordLockoutError	Remote password authentication is locked out.		Wait out the lockout time.	manual				SH(NA)-081257ENG	AD	3.5 List of Error Codes	
0xC86C	too_many_simultaneous_requests	SlmpBusyError	The number of received request messages exceeded the number that can be received simultaneously (64 per port).	Too many concurrent requests.	Throttle. Never auto-retried.	manual				SH(NA)-081257ENG	AD	3.5 List of Error Codes	
0xCEE0	iqss_detection_in_progress		An iQ Sensor Solution function was executed while automatic detection of connected devices was in progress.	iQSS only.	Wait for detection to finish.	manual				SH(NA)-081257ENG	AD	3.5 List of Error Codes	
0xCEE1	iqss_incorrect_frame		An incorrect frame was received.	iQSS target device.	Check the target device and the cabling.	manual				SH(NA)-081257ENG	AD	3.5 List of Error Codes	
0xCEE2	iqss_incorrect_frame_2		An incorrect frame was received.	iQSS target device.	Check the target device and the cabling.	manual				SH(NA)-081257ENG	AD	3.5 List of Error Codes	
0xCF10	iqss_incorrect_frame_3		An incorrect frame was received.	iQSS.	Check the target device.	manual				SH(NA)-081257ENG	AD	3.5 List of Error Codes	
0xCF20	iqss_setting_out_of_range		The communication setting value is out of range, an unsettable item was set, or a required item was left unset.	iQSS.	Fix the setting.	manual				SH(NA)-081257ENG	AD	3.5 List of Error Codes	
