# Model codes returned in the second field of an 0101 Read Type Name response
# (2 bytes little-endian in binary, 4 hex characters in ASCII).
#
# connect()'s identify step compares this code against the profile the caller declared
# and raises SlmpProfileMismatchError when it is not in the profile's set. There is no
# generic profile and no radix guess, so a model code that is absent from this table is
# an error the user resolves with `aslmp identify`, never a fallback.
#
# profile_key is empty for a code that identifies a FAMILY rather than a model
# (0x0360 RCPU): no profile may claim it.
code	model	family	profile_key	provenance	cpu	firmware	measured	host	medium	samples	manual	revision	section	note
0x4B0D	FX5UJ-24MR/ES	iq-f	melsec:iq-f/fx5uj	manual							JY997D56001	K	Appendix, CPU module model codes (p.110)	
0x4B0E	FX5UJ-40MR/ES	iq-f	melsec:iq-f/fx5uj	manual							JY997D56001	K	Appendix, CPU module model codes (p.110)	
0x4B0F	FX5UJ-60MR/ES	iq-f	melsec:iq-f/fx5uj	manual							JY997D56001	K	Appendix, CPU module model codes (p.110)	
0x4B14	FX5UJ-24MT/ES	iq-f	melsec:iq-f/fx5uj	manual							JY997D56001	K	Appendix, CPU module model codes (p.110)	
0x4B15	FX5UJ-40MT/ES	iq-f	melsec:iq-f/fx5uj	manual							JY997D56001	K	Appendix, CPU module model codes (p.110)	
0x4B16	FX5UJ-60MT/ES	iq-f	melsec:iq-f/fx5uj	manual							JY997D56001	K	Appendix, CPU module model codes (p.110)	
0x4B1B	FX5UJ-24MT/ESS	iq-f	melsec:iq-f/fx5uj	manual							JY997D56001	K	Appendix, CPU module model codes (p.110)	
0x4B1C	FX5UJ-40MT/ESS	iq-f	melsec:iq-f/fx5uj	manual							JY997D56001	K	Appendix, CPU module model codes (p.110)	
0x4B1D	FX5UJ-60MT/ESS	iq-f	melsec:iq-f/fx5uj	manual							JY997D56001	K	Appendix, CPU module model codes (p.110)	
0x4B4E	FX5S-30MR/ES	iq-f	melsec:iq-f/fx5s	manual							JY997D56001	K	Appendix, CPU module model codes (p.110)	
0x4B4F	FX5S-40MR/ES	iq-f	melsec:iq-f/fx5s	manual							JY997D56001	K	Appendix, CPU module model codes (p.110)	
0x4B50	FX5S-60MR/ES	iq-f	melsec:iq-f/fx5s	manual							JY997D56001	K	Appendix, CPU module model codes (p.110)	
0x4B51	FX5S-80MR/ES	iq-f	melsec:iq-f/fx5s	manual							JY997D56001	K	Appendix, CPU module model codes (p.110)	
0x4B55	FX5S-30MT/ES	iq-f	melsec:iq-f/fx5s	inferred							JY997D56001	K	Appendix, CPU module model codes (p.110)	The survey extract of this row read 'FX5S-30/40/60 MT/ES, 80MT/ESS' against 4B55H-4B58H, which cannot be right because 4B5CH-4B5FH are already the MT/ESS block. The model NAMES here are our reading; the codes are the manual's. See A-FX5S-MODEL-CODES.
0x4B56	FX5S-40MT/ES	iq-f	melsec:iq-f/fx5s	inferred							JY997D56001	K	Appendix, CPU module model codes (p.110)	The survey extract of this row read 'FX5S-30/40/60 MT/ES, 80MT/ESS' against 4B55H-4B58H, which cannot be right because 4B5CH-4B5FH are already the MT/ESS block. The model NAMES here are our reading; the codes are the manual's. See A-FX5S-MODEL-CODES.
0x4B57	FX5S-60MT/ES	iq-f	melsec:iq-f/fx5s	inferred							JY997D56001	K	Appendix, CPU module model codes (p.110)	The survey extract of this row read 'FX5S-30/40/60 MT/ES, 80MT/ESS' against 4B55H-4B58H, which cannot be right because 4B5CH-4B5FH are already the MT/ESS block. The model NAMES here are our reading; the codes are the manual's. See A-FX5S-MODEL-CODES.
0x4B58	FX5S-80MT/ES	iq-f	melsec:iq-f/fx5s	inferred							JY997D56001	K	Appendix, CPU module model codes (p.110)	The survey extract of this row read 'FX5S-30/40/60 MT/ES, 80MT/ESS' against 4B55H-4B58H, which cannot be right because 4B5CH-4B5FH are already the MT/ESS block. The model NAMES here are our reading; the codes are the manual's. See A-FX5S-MODEL-CODES.
0x4B5C	FX5S-30MT/ESS	iq-f	melsec:iq-f/fx5s	manual							JY997D56001	K	Appendix, CPU module model codes (p.110)	
0x4B5D	FX5S-40MT/ESS	iq-f	melsec:iq-f/fx5s	manual							JY997D56001	K	Appendix, CPU module model codes (p.110)	
0x4B5E	FX5S-60MT/ESS	iq-f	melsec:iq-f/fx5s	manual							JY997D56001	K	Appendix, CPU module model codes (p.110)	
0x4B5F	FX5S-80MT/ESS	iq-f	melsec:iq-f/fx5s	manual							JY997D56001	K	Appendix, CPU module model codes (p.110)	
